vertex ID,cs,positions,phenotype_id
0,ENSG00000035115.grp_2.contained.ENST00000626873_L1_GTEx.small_intestine_txrev,[242793],ENSG00000035115
1,ENSG00000154518.grp_2.contained.ENST00000497075_L1_TwinsUK.fat_txrev,"[175096011, 175165870, 175178369]",ENSG00000154518
2,ENSG00000168395.grp_2.contained.ENST00000486061_L1_GTEx.adipose_visceral_txrev,"[241721273, 241721946, 241724277, 241728478]",ENSG00000168395
3,ENSG00000072163.grp_2.contained.ENST00000582671_L1_GTEx.skin_not_sun_exposed_txrev,"[127597277, 127603232, 127605551, 127615448, 127632003, 127633013, 127638101, 127641317, 127641734]",ENSG00000072163
4,ENSG00000018280.grp_1.contained.ENST00000468221_L2_Quach_2016.monocyte_Pam3CSK4_txrev,[218384290],ENSG00000018280
5,ENSG00000143954.grp_1.contained.ENST00000272324_L4_GTEx.pancreas_txrev,[79026020],ENSG00000143954
6,ENSG00000035115.grp_2.contained.ENST00000403712_L1_GEUVADIS.LCL_txrev,[242793],ENSG00000035115
7,ENSG00000035115.grp_2.contained.ENST00000626873_L1_GTEx.brain_cortex_txrev,[242793],ENSG00000035115
8,ENSG00000035115.grp_2.contained.ENST00000403712_L1_GTEx.artery_coronary_txrev,[242793],ENSG00000035115
9,ENSG00000118640.grp_1.contained.ENST00000432071_L1_GTEx.lung_txrev,"[85574779, 85576774, 85578531, 85579143, 85582547, 85582580]",ENSG00000118640
10,ENSG00000118640.grp_1.contained.ENST00000409760_L1_GTEx.adipose_subcutaneous_txrev,"[85565261, 85567174, 85567292]",ENSG00000118640
11,ENSG00000155755.grp_1.contained.ENST00000480124_L1_HipSci.iPSC_txrev,"[201613640, 201615060, 201634960, 201635472, 201636482, 201636725, 201638502, 201638524]",ENSG00000155755
12,ENSG00000118640.grp_1.contained.ENST00000432071_L1_GTEx.vagina_txrev,"[85581450, 85581748, 85582832]",ENSG00000118640
13,ENSG00000154518.grp_1.contained.ENST00000497075_L1_FUSION.muscle_naive_txrev,"[175096011, 175165870, 175178369]",ENSG00000154518
14,ENSG00000240344.grp_2.contained.ENST00000497263_L1_GTEx.brain_hippocampus_txrev,"[200867394, 200872011, 200877622, 200889340]",ENSG00000240344
15,ENSG00000153093.grp_2.contained.ENST00000496981_L1_GTEx.testis_txrev,"[111017882, 111018577]",ENSG00000153093
16,ENSG00000064012.grp_2.contained.ENST00000432109_L1_GTEx.uterus_txrev,"[201261892, 201286440, 201288502, 201288961, 201289197, 201300483, 201305932, 201311301, 201311571, 201316524]",ENSG00000064012
17,ENSG00000180902.grp_2.contained.ENST00000432449_L2_GTEx.colon_sigmoid_txrev,"[241182143, 241183889, 241191700]",ENSG00000180902
18,ENSG00000115761.grp_1.contained.ENST00000345985_L1_FUSION.muscle_naive_txrev,"[10649903, 10656757, 10663724, 10663851, 10665848, 10681431, 10686935, 10687031, 10688524, 10692734]",ENSG00000115761
19,ENSG00000151689.grp_1.contained.ENST00000422454_L1_GTEx.brain_amygdala_txrev,"[190046162, 190046948, 190048693, 190051503, 190053312, 190053821, 190059136, 190060519, 190069497]",ENSG00000151689
20,ENSG00000196975.grp_2.contained.ENST00000471395_L1_Quach_2016.monocyte_naive_txrev,[69832692],ENSG00000196975
21,ENSG00000237940.grp_1.contained.ENST00000429456_L1_GTEx.uterus_txrev,[241971499],ENSG00000237940
22,ENSG00000153093.grp_2.contained.ENST00000439055_L1_HipSci.iPSC_txrev,"[110977552, 110978806, 110979246, 110979698]",ENSG00000153093
23,ENSG00000151353.grp_2.contained.ENST00000281017_L1_Schwartzentruber_2018.sensory_neuron_txrev,"[671939, 674963, 676177]",ENSG00000151353
24,ENSG00000138101.grp_1.contained.ENST00000489756_L1_GEUVADIS.LCL_txrev,"[25398661, 25399570, 25402553, 25403516, 25406028, 25406569]",ENSG00000138101
25,ENSG00000238062.grp_2.contained.ENST00000457803_L1_GTEx.testis_txrev,"[230987064, 230987371, 230987474, 230992361]",ENSG00000238062
26,ENSG00000171853.grp_2.contained.ENST00000417243_L2_GTEx.esophagus_mucosa_txrev,"[3472526, 3477760]",ENSG00000171853
27,ENSG00000115239.grp_2.contained.ENST00000414369_L1_Quach_2016.monocyte_naive_txrev,"[53760422, 53763395]",ENSG00000115239
28,ENSG00000124380.grp_2.contained.ENST00000244227_L1_GTEx.adipose_subcutaneous_txrev,"[69904531, 69904659, 69906278, 69906932, 69914387]",ENSG00000124380
29,ENSG00000168894.grp_2.contained.ENST00000456023_L1_Quach_2016.monocyte_naive_txrev,"[85612962, 85626892, 85642017]",ENSG00000168894
30,ENSG00000144504.grp_1.contained.ENST00000361678_L1_GTEx.testis_txrev,"[240483031, 240487860, 240490374, 240491594, 240496576, 240510938, 240511933]",ENSG00000144504
