,Chromosome,Start_x,End,Start_y,Count
0,1,915107,915108,915107,1
1,1,984121,984122,984121,1
2,1,986336,986337,986336,2
3,1,989068,989069,989068,3
4,1,989148,989149,989148,1
5,1,995508,995509,995508,1
6,1,998410,998411,998410,5
7,1,999842,999843,999842,8
8,1,1000731,1000732,1000731,1
9,1,1306908,1306909,1306908,1
10,1,1311058,1311059,1311058,1
11,1,1315577,1315578,1315577,2
12,1,1319871,1319872,1319871,2
13,1,1374801,1374802,1374801,3
14,1,1446303,1446304,1446303,1
15,1,1448537,1448538,1448537,1
16,1,1454506,1454507,1454506,1
17,1,1456068,1456069,1456068,1
18,1,1456652,1456653,1456652,1
19,1,1457059,1457060,1457059,1
20,1,1457060,1457061,1457060,1
21,1,1458383,1458384,1458383,1
22,1,1463825,1463826,1463825,1
23,1,1585173,1585174,1585173,1
24,1,1585372,1585373,1585372,1
25,1,1585717,1585718,1585717,1
26,1,1586215,1586216,1586215,1
27,1,1590785,1590786,1590785,1
28,1,1590792,1590793,1590792,1
29,1,1595384,1595385,1595384,1
30,1,1596882,1596883,1596882,1
31,1,1607630,1607631,1607630,1
32,1,1609890,1609891,1609890,1
33,1,1624591,1624592,1624591,1
34,1,1627156,1627157,1627156,1
35,1,1655886,1655887,1655886,1
36,1,1667722,1667723,1667722,1
37,1,1667922,1667923,1667922,1
38,1,1679993,1679994,1679993,1
39,1,1680214,1680215,1680214,1
40,1,1680672,1680673,1680672,1
41,1,1683909,1683910,1683909,1
42,1,1684266,1684267,1684266,1
43,1,1684308,1684309,1684308,1
44,1,1684619,1684620,1684619,1
45,1,1704310,1704311,1704310,1
46,1,1704835,1704836,1704835,1
47,1,1706067,1706068,1706067,1
48,1,1715838,1715839,1715838,1
49,1,1720192,1720193,1720192,1
50,1,1724035,1724036,1724035,1
51,1,1742432,1742433,1742432,1
52,1,1742672,1742673,1742672,1
53,1,1744499,1744500,1744499,1
54,1,1744652,1744653,1744652,1
55,1,3629048,3629049,3629048,1
56,1,3629561,3629562,3629561,1
57,1,3630465,3630466,3630465,1
58,1,3630473,3630474,3630473,1
59,1,3637429,3637430,3637429,1
60,1,3638864,3638865,3638864,1
61,1,3639108,3639109,3639108,1
62,1,3640291,3640292,3640291,1
63,1,3645356,3645357,3645356,1
64,1,3645381,3645382,3645381,1
65,1,3887191,3887192,3887191,8
66,1,3889510,3889511,3889510,6
67,1,3891607,3891608,3891607,7
68,1,3894639,3894640,3894639,4
69,1,3896284,3896285,3896284,4
70,1,3897726,3897727,3897726,4
71,1,3898178,3898179,3898178,4
72,1,3904770,3904771,3904770,4
73,1,3913050,3913051,3913050,4
74,1,5899382,5899383,5899382,1
75,1,5967533,5967534,5967533,1
76,1,5995272,5995273,5995272,1
77,1,5999151,5999152,5999151,1
78,1,7785635,7785636,7785635,3
79,1,7829744,7829745,7829744,3
80,1,7830204,7830205,7830204,3
81,1,7830896,7830897,7830896,3
82,1,7832499,7832500,7832499,1
83,1,7834729,7834730,7834729,1
84,1,9087402,9087403,9087402,3
85,1,9090612,9090613,9090612,3
86,1,9210752,9210753,9210752,3
87,1,9221858,9221859,9221858,3
88,1,9223434,9223435,9223434,3
89,1,9263398,9263399,9263398,1
90,1,9265617,9265618,9265617,1
91,1,9268027,9268028,9268027,1
92,1,9269053,9269054,9269053,1
93,1,9269230,9269231,9269230,1
94,1,9270681,9270682,9270681,1
95,1,9270962,9270963,9270962,2
96,1,9271218,9271219,9271218,2
97,1,9271570,9271571,9271570,2
98,1,9271727,9271728,9271727,2
99,1,9271821,9271822,9271821,2
100,1,9271914,9271915,9271914,2
101,1,9272788,9272789,9272788,1
102,1,9273127,9273128,9273127,2
103,1,9273498,9273499,9273498,2
104,1,9275268,9275269,9275268,1
105,1,9276057,9276058,9276057,1
106,1,9278563,9278564,9278563,1
107,1,11442626,11442627,11442626,1
108,1,11442794,11442795,11442794,1
109,1,11445953,11445954,11445953,1
110,1,11446724,11446725,11446724,1
111,1,11447583,11447584,11447583,1
112,1,11447604,11447605,11447604,1
113,1,11675205,11675206,11675205,3
114,1,11675595,11675596,11675595,3
115,1,11675784,11675785,11675784,3
116,1,11675820,11675821,11675820,3
117,1,11678922,11678923,11678922,3
118,1,11679095,11679096,11679095,3
119,1,11679279,11679280,11679279,3
120,1,11679575,11679576,11679575,3
121,1,11680755,11680756,11680755,3
122,1,11681247,11681248,11681247,3
123,1,11681449,11681450,11681449,3
124,1,11683067,11683068,11683067,3
125,1,11684155,11684156,11684155,3
126,1,11684161,11684162,11684161,3
127,1,11684740,11684741,11684740,3
128,1,11685139,11685140,11685139,3
129,1,11739171,11739172,11739171,2
130,1,11742377,11742378,11742377,2
131,1,11747369,11747370,11747369,2
132,1,11753332,11753333,11753332,2
133,1,11764185,11764186,11764185,1
134,1,11764518,11764519,11764518,1
135,1,11771002,11771003,11771002,1
136,1,11781888,11781889,11781888,1
137,1,11781909,11781910,11781909,3
138,1,11790946,11790947,11790946,3
139,1,11792243,11792244,11792243,3
140,1,11838976,11838977,11838976,3
141,1,11854017,11854018,11854017,1
142,1,13969329,13969330,13969329,2
143,1,13981443,13981444,13981443,1
144,1,13985052,13985053,13985052,1
145,1,13996052,13996053,13996052,2
146,1,13998771,13998772,13998771,2
147,1,14000374,14000375,14000374,2
148,1,14002431,14002432,14002431,1
149,1,14003152,14003153,14003152,1
150,1,15272529,15272530,15272529,4
151,1,15272573,15272574,15272573,4
152,1,15721475,15721476,15721475,2
153,1,15747029,15747030,15747029,4
154,1,15747030,15747031,15747030,4
155,1,15747032,15747033,15747032,4
156,1,15774837,15774838,15774837,4
157,1,16193406,16193407,16193406,1
158,1,16200034,16200035,16200034,3
159,1,16203554,16203555,16203554,3
160,1,16206527,16206528,16206527,3
161,1,16207335,16207336,16207335,3
162,1,16209309,16209310,16209309,3
163,1,16210794,16210795,16210794,2
164,1,18871070,18871071,18871070,1
165,1,18871570,18871571,18871570,1
166,1,18871647,18871648,18871647,1
167,1,18871920,18871921,18871920,1
168,1,18871924,18871925,18871924,1
169,1,18872133,18872134,18872133,1
170,1,18876402,18876403,18876402,4
171,1,19330519,19330520,19330519,1
172,1,19333345,19333346,19333345,1
173,1,19334662,19334663,19334662,1
174,1,19375513,19375514,19375513,3
175,1,19396786,19396787,19396786,3
176,1,19419306,19419307,19419306,2
177,1,19420105,19420106,19420105,2
178,1,19421002,19421003,19421002,2
179,1,19422609,19422610,19422609,2
180,1,19484316,19484317,19484316,3
181,1,19485158,19485159,19485158,2
182,1,19487533,19487534,19487533,3
183,1,19488398,19488399,19488398,3
184,1,19488462,19488463,19488462,3
185,1,19489512,19489513,19489512,3
186,1,19636380,19636381,19636380,1
187,1,19644359,19644360,19644359,1
188,1,19644641,19644642,19644641,1
189,1,19646092,19646093,19646092,1
190,1,19646864,19646865,19646864,1
191,1,19847479,19847480,19847479,1
192,1,19850164,19850165,19850164,1
193,1,19850513,19850514,19850513,1
194,1,19856952,19856953,19856952,1
195,1,19872755,19872756,19872755,1
196,1,19895132,19895133,19895132,1
197,1,19898899,19898900,19898899,1
198,1,19906593,19906594,19906593,1
199,1,19910855,19910856,19910855,1
200,1,19911267,19911268,19911267,1
201,1,20520999,20521000,20520999,1
202,1,20588948,20588949,20588948,1
203,1,20589519,20589520,20589519,1
204,1,20591009,20591010,20591009,1
205,1,20591272,20591273,20591272,1
206,1,20591845,20591846,20591845,1
