,Chromosome,Start_x,End,Start_y,Count
0,1,832873,832874,832873,2
1,1,834582,834583,834582,1
2,1,835355,835356,835355,1
3,1,837050,837051,837050,1
4,1,838983,838984,838983,1
5,1,841166,841167,841166,85
6,1,845179,845180,845179,1
7,1,858049,858050,858049,3
8,1,862060,862061,862060,1
9,1,863020,863021,863020,1
10,1,863579,863580,863579,1
11,1,866646,866647,866646,2
12,1,867291,867292,867291,1
13,1,872843,872844,872843,2
14,1,873251,873252,873251,3
15,1,873548,873549,873548,3
16,1,874906,874907,874906,1
17,1,878991,878992,878991,3
18,1,885850,885851,885850,1
19,1,886546,886547,886546,3
20,1,897580,897581,897580,1
21,1,928598,928599,928598,1
22,1,936707,936708,936707,1
23,1,936711,936712,936711,1
24,1,941446,941447,941446,1
25,1,946870,946871,946870,1
26,1,948286,948287,948286,1
27,1,1023221,1023222,1023221,1
28,1,1028850,1028851,1028850,1
29,1,1051080,1051081,1051080,1
30,1,1060774,1060775,1060774,1
31,1,1060868,1060869,1060868,2
32,1,1069577,1069578,1069577,1
33,1,1069600,1069601,1069600,1
34,1,1070843,1070844,1070843,1
35,1,1072052,1072053,1072052,1
36,1,1074443,1074444,1074443,2
37,1,1075707,1075708,1075707,1
38,1,1079484,1079485,1079484,1
39,1,1079877,1079878,1079877,1
40,1,1082207,1082208,1082207,2
41,1,1082764,1082765,1082764,1
42,1,1083182,1083183,1083182,1
43,1,1087765,1087766,1087765,2
44,1,1096160,1096161,1096160,1
45,1,1096804,1096805,1096804,1
46,1,1101437,1101438,1101437,1
47,1,1122609,1122610,1122609,1
48,1,1125436,1125437,1125436,1
49,1,1142036,1142037,1142036,1
50,1,1245992,1245993,1245992,1
51,1,1290045,1290046,1290045,1
52,1,1336473,1336474,1336473,1
53,1,1355705,1355706,1355705,1
54,1,1383624,1383625,1383624,1
55,1,1426982,1426983,1426982,1
56,1,1440430,1440431,1440430,4
57,1,1457826,1457827,1457826,2
58,1,1468116,1468117,1468116,1
59,1,1471713,1471714,1471713,1
60,1,1485861,1485862,1485861,1
61,1,1490670,1490671,1490670,1
62,1,1508007,1508008,1508007,1
63,1,1513714,1513715,1513714,4
64,1,1525704,1525705,1525704,1
65,1,1529644,1529645,1529644,3
66,1,1535746,1535747,1535746,1
67,1,1557682,1557683,1557682,4
68,1,1565802,1565803,1565802,1
69,1,1566762,1566763,1566762,1
70,1,1578879,1578880,1578879,1
71,1,1585173,1585174,1585173,9
72,1,1585372,1585373,1585372,7
73,1,1585589,1585590,1585589,1
74,1,1585647,1585648,1585647,11
75,1,1585717,1585718,1585717,7
76,1,1585900,1585901,1585900,1
77,1,1586215,1586216,1586215,7
78,1,1590785,1590786,1590785,4
79,1,1590792,1590793,1590792,9
80,1,1591419,1591420,1591419,1
81,1,1593274,1593275,1593274,2
82,1,1593620,1593621,1593620,1
83,1,1594077,1594078,1594077,1
84,1,1594599,1594600,1594599,1
85,1,1595772,1595773,1595772,1
86,1,1596162,1596163,1596162,1
87,1,1596882,1596883,1596882,3
88,1,1599234,1599235,1599234,1
89,1,1602057,1602058,1602057,1
90,1,1607630,1607631,1607630,4
91,1,1609890,1609891,1609890,24
92,1,1611248,1611249,1611248,1
93,1,1612186,1612187,1612186,4
94,1,1613330,1613331,1613330,1
95,1,1614340,1614341,1614340,9
96,1,1615015,1615016,1615015,4
97,1,1623412,1623413,1623412,1
98,1,1624086,1624087,1624086,2
99,1,1624323,1624324,1624323,2
100,1,1624591,1624592,1624591,5
101,1,1624723,1624724,1624723,3
102,1,1625951,1625952,1625951,2
103,1,1625961,1625962,1625961,3
104,1,1627156,1627157,1627156,20
105,1,1627515,1627516,1627515,26
