,Chromosome,Start_x,End,Start_y,Count
0,1,57292,57293,57292,1
1,1,591531,591532,591531,1
2,1,596671,596672,596671,1
3,1,596945,596946,596945,1
4,1,817514,817515,817514,1
5,1,819123,819124,819123,1
6,1,819584,819585,819584,1
7,1,820560,820561,820560,1
8,1,825532,825533,825532,1
9,1,825767,825768,825767,1
10,1,826577,826578,826577,1
11,1,834582,834583,834582,1
12,1,841166,841167,841166,2
13,1,845405,845406,845405,1
14,1,866156,866157,866156,1
15,1,877290,877291,877290,1
16,1,915107,915108,915107,3
17,1,917495,917496,917495,4
18,1,918574,918575,918574,4
19,1,919397,919398,919397,2
20,1,920719,920720,920719,1
21,1,920728,920729,920728,1
22,1,921096,921097,921096,1
23,1,939547,939548,939547,1
24,1,942934,942935,942934,3
25,1,943136,943137,943136,1
26,1,944296,944297,944296,1
27,1,946354,946355,946354,1
28,1,946870,946871,946870,21
29,1,947628,947629,947628,1
30,1,949046,949047,949046,2
31,1,950296,950297,950296,4
32,1,950669,950670,950669,2
33,1,952180,952181,952180,3
34,1,953778,953779,953778,4
35,1,953779,953780,953779,4
36,1,954258,954259,954258,5
37,1,954333,954334,954333,8
38,1,954496,954497,954496,2
39,1,958251,958252,958251,5
40,1,958339,958340,958339,5
41,1,960509,960510,960509,1
42,1,961945,961946,961945,5
43,1,962184,962185,962184,7
44,1,962358,962359,962358,6
45,1,966227,966228,966227,1
46,1,971594,971595,971594,1
47,1,972229,972230,972229,1
48,1,972611,972612,972611,1
49,1,972614,972615,972614,1
50,1,972618,972619,972618,1
51,1,975721,975722,975721,1
52,1,976669,976670,976669,4
53,1,978045,978046,978045,3
54,1,978509,978510,978509,3
55,1,978953,978954,978953,3
56,1,979459,979460,979459,3
57,1,979472,979473,979472,3
58,1,979560,979561,979560,4
59,1,981454,981455,981454,3
60,1,983004,983005,983004,3
61,1,983193,983194,983193,3
62,1,984121,984122,984121,4
63,1,986336,986337,986336,34
64,1,989068,989069,989068,32
65,1,989148,989149,989148,6
66,1,992967,992968,992967,34
67,1,995153,995154,995153,5
68,1,995187,995188,995187,4
69,1,995371,995372,995371,3
70,1,995508,995509,995508,2
71,1,995786,995787,995786,4
72,1,995849,995850,995849,1
73,1,995982,995983,995982,6
74,1,996930,996931,996930,1
75,1,997258,997259,997258,1
76,1,998410,998411,998410,42
77,1,999842,999843,999842,97
78,1,1000731,1000732,1000731,25
79,1,1002293,1002294,1002293,1
80,1,1004625,1004626,1004625,4
81,1,1004716,1004717,1004716,28
82,1,1005429,1005430,1005429,3
83,1,1005757,1005758,1005757,16
84,1,1005808,1005809,1005808,2
85,1,1005904,1005905,1005904,3
86,1,1005954,1005955,1005954,3
87,1,1006159,1006160,1006159,5
88,1,1006415,1006416,1006415,1
89,1,1008588,1008589,1008588,7
90,1,1014228,1014229,1014228,1
91,1,1014733,1014734,1014733,3
92,1,1014863,1014864,1014863,1
93,1,1015297,1015298,1015297,1
94,1,1015903,1015904,1015903,1
95,1,1016184,1016185,1016184,1
96,1,1017048,1017049,1017048,4
97,1,1018572,1018573,1018572,13
98,1,1019397,1019398,1019397,10
99,1,1021472,1021473,1021472,4
100,1,1025029,1025030,1025029,3
101,1,1034835,1034836,1034835,1
102,1,1045751,1045752,1045751,1
103,1,1049591,1049592,1049591,1
104,1,1060101,1060102,1060101,3
105,1,1062389,1062390,1062389,2
106,1,1063015,1063016,1063015,2
107,1,1063202,1063203,1063202,4
108,1,1064776,1064777,1064776,1
109,1,1067054,1067055,1067054,4
110,1,1068249,1068250,1068249,1
111,1,1071610,1071611,1071610,2
112,1,1074098,1074099,1074098,2
113,1,1080437,1080438,1080437,2
114,1,1081961,1081962,1081961,2
115,1,1083795,1083796,1083795,2
116,1,1085026,1085027,1085026,1
117,1,1086035,1086036,1086035,2
118,1,1086315,1086316,1086315,1
119,1,1091327,1091328,1091327,12
120,1,1091421,1091422,1091421,1
121,1,1096160,1096161,1096160,1
122,1,1096804,1096805,1096804,1
123,1,1098619,1098620,1098619,2
124,1,1125786,1125787,1125786,1
125,1,1126414,1126415,1126414,1
126,1,1126468,1126469,1126468,1
127,1,1126635,1126636,1126635,1
128,1,1167413,1167414,1167413,1
129,1,1169244,1169245,1169244,1
130,1,1184990,1184991,1184990,1
131,1,1189370,1189371,1189370,8
132,1,1210031,1210032,1210031,1
133,1,1210061,1210062,1210061,1
134,1,1210087,1210088,1210087,1
135,1,1211863,1211864,1211863,1
136,1,1211917,1211918,1211917,1
137,1,1215852,1215853,1215852,2
138,1,1216593,1216594,1216593,3
139,1,1217251,1217252,1217251,10
140,1,1217733,1217734,1217733,25
141,1,1217749,1217750,1217749,2
142,1,1223251,1223252,1223251,96
143,1,1224137,1224138,1224137,6
144,1,1224887,1224888,1224887,1
145,1,1226338,1226339,1226338,1
146,1,1226486,1226487,1226486,7
147,1,1227685,1227686,1227685,1
148,1,1228424,1228425,1228424,1
149,1,1229369,1229370,1229369,1
150,1,1231710,1231711,1231710,6
151,1,1232416,1232417,1232416,5
152,1,1234105,1234106,1234105,1
153,1,1234348,1234349,1234348,1
154,1,1234593,1234594,1234593,1
155,1,1235349,1235350,1235349,1
156,1,1235602,1235603,1235602,7
157,1,1236303,1236304,1236303,4
158,1,1236456,1236457,1236456,1
159,1,1238231,1238232,1238231,1
160,1,1239942,1239943,1239942,1
161,1,1240847,1240848,1240847,1
162,1,1243822,1243823,1243822,1
163,1,1244005,1244006,1244005,1
164,1,1246024,1246025,1246024,1
165,1,1246407,1246408,1246407,1
166,1,1248378,1248379,1248378,1
167,1,1250961,1250962,1250961,1
168,1,1251356,1251357,1251356,1
169,1,1259165,1259166,1259165,1
170,1,1263238,1263239,1263238,1
171,1,1263827,1263828,1263827,1
172,1,1264822,1264823,1264822,1
173,1,1266565,1266566,1266565,1
174,1,1267091,1267092,1267091,1
175,1,1268084,1268085,1268084,1
176,1,1268974,1268975,1268974,1
177,1,1271481,1271482,1271481,1
178,1,1275583,1275584,1275583,1
179,1,1277415,1277416,1277415,1
180,1,1277830,1277831,1277830,1
181,1,1278556,1278557,1278556,1
182,1,1280342,1280343,1280342,1
183,1,1287310,1287311,1287310,1
184,1,1292517,1292518,1292517,1
185,1,1293734,1293735,1293734,1
186,1,1295060,1295061,1295060,1
187,1,1296207,1296208,1296207,24
188,1,1296815,1296816,1296815,1
189,1,1297615,1297616,1297615,1
190,1,1297751,1297752,1297751,1
191,1,1298292,1298293,1298292,1
192,1,1302158,1302159,1302158,1
193,1,1303350,1303351,1303350,1
194,1,1306704,1306705,1306704,1
195,1,1306908,1306909,1306908,3
196,1,1307088,1307089,1307088,1
197,1,1307276,1307277,1307276,1
198,1,1310876,1310877,1310876,3
199,1,1311058,1311059,1311058,3
200,1,1315577,1315578,1315577,4
201,1,1319648,1319649,1319648,24
202,1,1319871,1319872,1319871,4
203,1,1322213,1322214,1322213,1
204,1,1325353,1325354,1325353,2
205,1,1327764,1327765,1327764,1
206,1,1329159,1329160,1329159,2
207,1,1329774,1329775,1329774,1
208,1,1331945,1331946,1331945,1
209,1,1334606,1334607,1334606,1
210,1,1336562,1336563,1336562,1
211,1,1337736,1337737,1337736,1
212,1,1337898,1337899,1337898,2
213,1,1340576,1340577,1340576,1
214,1,1341362,1341363,1341362,1
215,1,1345112,1345113,1345112,2
216,1,1346453,1346454,1346453,2
217,1,1346459,1346460,1346459,1
218,1,1351406,1351407,1351406,2
219,1,1353091,1353092,1353091,1
220,1,1353203,1353204,1353203,3
221,1,1353443,1353444,1353443,1
222,1,1353987,1353988,1353987,1
223,1,1354531,1354532,1354531,1
224,1,1356751,1356752,1356751,10
225,1,1357963,1357964,1357963,1
226,1,1360302,1360303,1360302,2
227,1,1361679,1361680,1361679,2
228,1,1362042,1362043,1362042,1
229,1,1363081,1363082,1363081,1
230,1,1363898,1363899,1363898,2
231,1,1363986,1363987,1363986,2
232,1,1365566,1365567,1365566,2
233,1,1366183,1366184,1366183,2
234,1,1366427,1366428,1366427,2
235,1,1366529,1366530,1366529,2
236,1,1367292,1367293,1367292,2
237,1,1370113,1370114,1370113,2
238,1,1372909,1372910,1372909,1
239,1,1374505,1374506,1374505,3
240,1,1374562,1374563,1374562,63
241,1,1374801,1374802,1374801,73
242,1,1375288,1375289,1375288,3
243,1,1375595,1375596,1375595,3
244,1,1375642,1375643,1375642,3
245,1,1375698,1375699,1375698,1
246,1,1375788,1375789,1375788,2
247,1,1375998,1375999,1375998,3
248,1,1376092,1376093,1376092,3
249,1,1376162,1376163,1376162,8
250,1,1376336,1376337,1376336,3
251,1,1376752,1376753,1376752,1
252,1,1377431,1377432,1377431,8
253,1,1378204,1378205,1378204,4
254,1,1378635,1378636,1378635,1
255,1,1378792,1378793,1378792,1
256,1,1378865,1378866,1378865,1
257,1,1379334,1379335,1379334,1
258,1,1379664,1379665,1379664,1
259,1,1380513,1380514,1380513,5
260,1,1380867,1380868,1380867,2
261,1,1381088,1381089,1381088,2
262,1,1381290,1381291,1381290,3
263,1,1381507,1381508,1381507,2
264,1,1382885,1382886,1382885,2
265,1,1382893,1382894,1382893,2
266,1,1382971,1382972,1382971,2
267,1,1383743,1383744,1383743,2
268,1,1383798,1383799,1383798,6
269,1,1384749,1384750,1384749,10
270,1,1385028,1385029,1385028,1
271,1,1385384,1385385,1385384,6
272,1,1386861,1386862,1386861,2
273,1,1387650,1387651,1387650,5
274,1,1387763,1387764,1387763,10
275,1,1388585,1388586,1388585,1
276,1,1388587,1388588,1388587,4
277,1,1388944,1388945,1388944,10
278,1,1389777,1389778,1389777,56
279,1,1395050,1395051,1395050,10
