,Chromosome,Start_x,End,Start_y,Count
0,1,800909,800910,800909,1
1,1,816862,816863,816862,1
2,1,817186,817187,817186,3
3,1,817341,817342,817341,2
4,1,817514,817515,817514,2
5,1,818094,818095,818094,2
6,1,819123,819124,819123,3
7,1,819584,819585,819584,3
8,1,820560,820561,820560,2
9,1,824064,824065,824064,1
10,1,825042,825043,825042,1
11,1,825532,825533,825532,3
12,1,825767,825768,825767,3
13,1,826577,826578,826577,2
14,1,827974,827975,827974,1
15,1,950296,950297,950296,2
16,1,950309,950310,950309,2
17,1,952180,952181,952180,2
18,1,953778,953779,953778,2
19,1,953779,953780,953779,2
20,1,953858,953859,953858,2
21,1,954258,954259,954258,1
22,1,954496,954497,954496,1
23,1,957900,957901,957900,2
24,1,958251,958252,958251,1
25,1,962184,962185,962184,1
26,1,963087,963088,963087,2
27,1,995543,995544,995543,4
28,1,1000079,1000080,1000079,7
29,1,1000112,1000113,1000112,7
30,1,1000453,1000454,1000453,7
31,1,1000814,1000815,1000814,7
32,1,1000830,1000831,1000830,4
33,1,1005808,1005809,1005808,2
34,1,1008088,1008089,1008088,1
35,1,1009716,1009717,1009716,1
36,1,1009731,1009732,1009731,1
37,1,1010232,1010233,1010232,1
38,1,1010481,1010482,1010481,1
39,1,1010747,1010748,1010747,1
40,1,1010755,1010756,1010755,1
41,1,1011654,1011655,1011654,1
42,1,1013312,1013313,1013312,1
43,1,1021740,1021741,1021740,2
44,1,1022868,1022869,1022868,3
45,1,1023351,1023352,1023351,3
46,1,1023525,1023526,1023525,3
47,1,1023573,1023574,1023573,3
48,1,1024462,1024463,1024462,3
49,1,1025561,1025562,1025561,3
50,1,1025970,1025971,1025970,2
51,1,1026084,1026085,1026084,2
52,1,1032846,1032847,1032846,2
53,1,1085502,1085503,1085502,1
54,1,1173257,1173258,1173257,1
55,1,1180851,1180852,1180851,1
56,1,1182895,1182896,1182895,1
57,1,1183198,1183199,1183198,1
58,1,1227685,1227686,1227685,1
59,1,1245399,1245400,1245399,1
60,1,1245992,1245993,1245992,1
61,1,1259165,1259166,1259165,1
62,1,1263238,1263239,1263238,1
63,1,1268558,1268559,1268558,1
64,1,1274159,1274160,1274159,1
65,1,1275055,1275056,1275055,1
66,1,1275468,1275469,1275468,1
67,1,1276222,1276223,1276222,1
68,1,1280815,1280816,1280815,1
69,1,1281168,1281169,1281168,1
70,1,1281170,1281171,1281170,1
71,1,1296939,1296940,1296939,2
72,1,1297732,1297733,1297732,2
73,1,1325082,1325083,1325082,1
74,1,1325353,1325354,1325353,1
75,1,1326444,1326445,1326444,4
76,1,1327586,1327587,1327586,27
77,1,1329159,1329160,1329159,1
78,1,1329774,1329775,1329774,44
79,1,1331125,1331126,1331125,1
80,1,1332779,1332780,1332779,1
81,1,1334606,1334607,1334606,1
82,1,1334669,1334670,1334669,1
83,1,1336562,1336563,1336562,1
84,1,1337736,1337737,1337736,38
85,1,1338970,1338971,1338970,9
86,1,1340576,1340577,1340576,1
87,1,1341362,1341363,1341362,1
88,1,1344634,1344635,1344634,10
89,1,1345112,1345113,1345112,1
90,1,1345965,1345966,1345965,10
91,1,1346453,1346454,1346453,1
92,1,1351406,1351407,1351406,1
93,1,1351441,1351442,1351441,3
94,1,1351517,1351518,1351517,13
95,1,1351747,1351748,1351747,11
96,1,1352542,1352543,1352542,6
97,1,1353091,1353092,1353091,59
98,1,1353203,1353204,1353203,1
99,1,1353443,1353444,1353443,48
100,1,1353987,1353988,1353987,1
101,1,1354531,1354532,1354531,6
102,1,1357963,1357964,1357963,1
103,1,1360302,1360303,1360302,5
104,1,1360502,1360503,1360502,3
105,1,1360507,1360508,1360507,2
106,1,1361833,1361834,1361833,6
107,1,1362042,1362043,1362042,8
108,1,1363031,1363032,1363031,7
109,1,1363157,1363158,1363157,7
110,1,1375288,1375289,1375288,1
111,1,1375595,1375596,1375595,1
112,1,1375698,1375699,1375698,4
113,1,1375998,1375999,1375998,1
114,1,1376092,1376093,1376092,1
115,1,1376153,1376154,1376153,4
116,1,1376336,1376337,1376336,1
117,1,1376752,1376753,1376752,4
118,1,1378635,1378636,1378635,4
119,1,1378792,1378793,1378792,3
120,1,1378865,1378866,1378865,1
121,1,1379334,1379335,1379334,1
122,1,1379664,1379665,1379664,20
123,1,1380043,1380044,1380043,1
124,1,1381294,1381295,1381294,1
125,1,1383798,1383799,1383798,1
126,1,1385384,1385385,1385384,1
127,1,1395050,1395051,1395050,2
128,1,1408286,1408287,1408286,1
129,1,1408687,1408688,1408687,3
130,1,1409306,1409307,1409306,1
131,1,1409623,1409624,1409623,1
132,1,1410590,1410591,1410590,1
133,1,1413898,1413899,1413898,1
134,1,1426810,1426811,1426810,3
135,1,1428969,1428970,1428969,4
136,1,1430190,1430191,1430190,4
137,1,1430908,1430909,1430908,4
138,1,1431014,1431015,1431014,1
139,1,1431450,1431451,1431450,4
140,1,1431537,1431538,1431537,4
141,1,1431813,1431814,1431813,2
142,1,1432355,1432356,1432355,2
143,1,1438102,1438103,1438102,2
144,1,1440430,1440431,1440430,2
145,1,1537160,1537161,1537160,2
146,1,1575421,1575422,1575421,2
147,1,1575724,1575725,1575724,2
148,1,1575864,1575865,1575864,2
149,1,1684337,1684338,1684337,1
150,1,1686705,1686706,1686705,2
151,1,1689221,1689222,1689221,2
152,1,1749174,1749175,1749174,1
153,1,1750226,1750227,1750226,1
154,1,1752126,1752127,1752126,1
155,1,1754601,1754602,1754601,1
156,1,1756186,1756187,1756186,1
157,1,1757074,1757075,1757074,1
158,1,1757725,1757726,1757725,1
159,1,1765440,1765441,1765440,12
160,1,1769192,1769193,1769192,1
161,1,1780639,1780640,1780639,1
162,1,1787203,1787204,1787203,1
