,Chromosome,Start_x,End,Start_y,Count
0,1,47159,47160,47159,1
1,1,54490,54491,54490,1
2,1,61920,61921,61920,1
3,1,63697,63698,63697,1
4,1,64649,64650,64649,1
5,1,92750,92751,92750,1
6,1,108030,108031,108030,1
7,1,108826,108827,108826,1
8,1,115746,115747,115746,2
9,1,135203,135204,135203,2
10,1,139393,139394,139393,1
11,1,804148,804149,804148,1
12,1,807610,807611,807610,1
13,1,811448,811449,811448,1
14,1,815963,815964,815963,1
15,1,816108,816109,816108,1
16,1,816376,816377,816376,1
17,1,817186,817187,817186,9
18,1,817341,817342,817341,11
19,1,817514,817515,817514,2
20,1,818094,818095,818094,2
21,1,819123,819124,819123,9
22,1,819584,819585,819584,8
23,1,820560,820561,820560,9
24,1,821148,821149,821148,1
25,1,823246,823247,823246,1
26,1,823390,823391,823390,1
27,1,823425,823426,823425,1
28,1,824320,824321,824320,1
29,1,825532,825533,825532,11
30,1,825767,825768,825767,11
31,1,826577,826578,826577,10
32,1,826950,826951,826950,1
33,1,826965,826966,826965,1
34,1,833758,833759,833758,1
35,1,836587,836588,836587,2
36,1,836648,836649,836648,6
37,1,839801,839802,839801,1
38,1,840732,840733,840732,6
39,1,843365,843366,843365,1
40,1,844876,844877,844876,6
41,1,845677,845678,845677,6
42,1,851554,851555,851554,2
43,1,854669,854670,854669,3
44,1,872658,872659,872658,1
45,1,878888,878889,878888,1
46,1,893638,893639,893638,1
47,1,906982,906983,906982,1
48,1,908920,908921,908920,1
49,1,908944,908945,908944,2
50,1,909903,909904,909903,4
51,1,910958,910959,910958,3
52,1,911109,911110,911109,3
53,1,911220,911221,911220,4
54,1,914618,914619,914618,4
55,1,914838,914839,914838,1
56,1,914991,914992,914991,1
57,1,916119,916120,916119,1
58,1,916657,916658,916657,1
59,1,916683,916684,916683,1
60,1,916753,916754,916753,1
61,1,917584,917585,917584,3
62,1,920661,920662,920661,2
63,1,920949,920950,920949,2
64,1,921096,921097,921096,1
65,1,927392,927393,927392,1
66,1,945371,945372,945371,1
67,1,946247,946248,946247,1
68,1,946870,946871,946870,1
69,1,951408,951409,951408,1
70,1,951437,951438,951437,1
71,1,954333,954334,954333,1
72,1,955679,955680,955679,1
73,1,956565,956566,956565,1
74,1,958081,958082,958081,1
75,1,959193,959194,959193,1
76,1,959510,959511,959510,1
77,1,960326,960327,960326,1
78,1,960375,960376,960375,1
79,1,961096,961097,961096,1
80,1,961945,961946,961945,1
81,1,962184,962185,962184,1
82,1,962358,962359,962358,1
83,1,964569,964570,964569,1
84,1,964589,964590,964589,1
85,1,964590,964591,964590,1
86,1,964639,964640,964639,1
87,1,964828,964829,964828,1
88,1,964905,964906,964905,1
89,1,964906,964907,964906,1
90,1,965350,965351,965350,1
91,1,965592,965593,965592,1
92,1,966179,966180,966179,4
93,1,966426,966427,966426,2
94,1,967375,967376,967375,1
95,1,967724,967725,967724,1
96,1,969780,969781,969780,1
97,1,969785,969786,969785,1
98,1,975014,975015,975014,1
99,1,975058,975059,975058,1
100,1,975093,975094,975093,2
101,1,976215,976216,976215,2
102,1,976536,976537,976536,4
103,1,978045,978046,978045,1
104,1,978230,978231,978230,4
105,1,978953,978954,978953,1
106,1,981210,981211,981210,1
107,1,981282,981283,981282,4
108,1,981454,981455,981454,1
109,1,981935,981936,981935,2
110,1,982112,982113,982112,4
111,1,982260,982261,982260,2
112,1,982858,982859,982858,2
113,1,982890,982891,982890,3
114,1,983193,983194,983193,1
115,1,983237,983238,983237,2
116,1,983327,983328,983327,1
117,1,983747,983748,983747,2
118,1,984547,984548,984547,1
119,1,985260,985261,985260,2
120,1,985597,985598,985597,2
121,1,986336,986337,986336,1
122,1,987103,987104,987103,2
123,1,989068,989069,989068,6
124,1,989148,989149,989148,2
125,1,991588,991589,991588,2
126,1,992967,992968,992967,4
127,1,994185,994186,994185,2
128,1,995153,995154,995153,3
129,1,995187,995188,995187,7
130,1,995371,995372,995371,11
131,1,995508,995509,995508,1
132,1,995543,995544,995543,3
133,1,995786,995787,995786,10
134,1,995982,995983,995982,26
135,1,996120,996121,996120,1
136,1,996133,996134,996133,1
137,1,998410,998411,998410,12
138,1,998750,998751,998750,2
139,1,999842,999843,999842,11
140,1,1000079,1000080,1000079,4
141,1,1000112,1000113,1000112,3
142,1,1000291,1000292,1000291,2
143,1,1000453,1000454,1000453,4
144,1,1000731,1000732,1000731,8
145,1,1000814,1000815,1000814,4
146,1,1000830,1000831,1000830,4
147,1,1001870,1001871,1001870,1
148,1,1002308,1002309,1002308,2
149,1,1002736,1002737,1002736,2
150,1,1002833,1002834,1002833,2
151,1,1004625,1004626,1004625,5
152,1,1004716,1004717,1004716,2
153,1,1005429,1005430,1005429,4
154,1,1005757,1005758,1005757,1
155,1,1005904,1005905,1005904,3
156,1,1005954,1005955,1005954,4
157,1,1006159,1006160,1006159,4
158,1,1008307,1008308,1008307,2
159,1,1008588,1008589,1008588,1
160,1,1009184,1009185,1009184,1
161,1,1010564,1010565,1010564,1
162,1,1014217,1014218,1014217,1
163,1,1014733,1014734,1014733,1
164,1,1014863,1014864,1014863,1
165,1,1015297,1015298,1015297,1
166,1,1015903,1015904,1015903,1
167,1,1015915,1015916,1015915,1
168,1,1016623,1016624,1016623,2
169,1,1018652,1018653,1018652,2
170,1,1018754,1018755,1018754,1
171,1,1020217,1020218,1020217,2
172,1,1020681,1020682,1020681,1
173,1,1021740,1021741,1021740,2
174,1,1022518,1022519,1022518,2
175,1,1022868,1022869,1022868,1
176,1,1023351,1023352,1023351,1
177,1,1023525,1023526,1023525,2
178,1,1023573,1023574,1023573,2
179,1,1024462,1024463,1024462,2
180,1,1025561,1025562,1025561,2
181,1,1025970,1025971,1025970,1
182,1,1026084,1026085,1026084,1
183,1,1026830,1026831,1026830,1
184,1,1031087,1031088,1031087,2
185,1,1032846,1032847,1032846,2
186,1,1034279,1034280,1034279,2
187,1,1057439,1057440,1057439,1
188,1,1057980,1057981,1057980,1
189,1,1060101,1060102,1060101,1
190,1,1062389,1062390,1062389,2
191,1,1063015,1063016,1063015,1
192,1,1063202,1063203,1063202,5
193,1,1065910,1065911,1065910,1
194,1,1067054,1067055,1067054,1
195,1,1071610,1071611,1071610,1
196,1,1074098,1074099,1074098,1
197,1,1075715,1075716,1075715,1
198,1,1080013,1080014,1080013,1
199,1,1080437,1080438,1080437,1
200,1,1081817,1081818,1081817,1
201,1,1081961,1081962,1081961,1
202,1,1083178,1083179,1083178,1
203,1,1086035,1086036,1086035,1
204,1,1089099,1089100,1089099,1
205,1,1091048,1091049,1091048,1
206,1,1091327,1091328,1091327,1
207,1,1092465,1092466,1092465,2
208,1,1092466,1092467,1092466,1
209,1,1094425,1094426,1094425,1
210,1,1095185,1095186,1095185,1
211,1,1095253,1095254,1095253,1
212,1,1096593,1096594,1096593,2
213,1,1097574,1097575,1097574,2
214,1,1098216,1098217,1098216,2
215,1,1098246,1098247,1098246,2
216,1,1098290,1098291,1098290,3
217,1,1098300,1098301,1098300,2
218,1,1098614,1098615,1098614,2
219,1,1098619,1098620,1098619,1
220,1,1098820,1098821,1098820,2
221,1,1099457,1099458,1099457,1
222,1,1155197,1155198,1155197,1
223,1,1158683,1158684,1158683,1
224,1,1166689,1166690,1166689,1
225,1,1173377,1173378,1173377,1
226,1,1174845,1174846,1174845,1
227,1,1174988,1174989,1174988,1
228,1,1175040,1175041,1175040,1
229,1,1175607,1175608,1175607,1
230,1,1175611,1175612,1175611,1
231,1,1176526,1176527,1176526,1
232,1,1176929,1176930,1176929,1
233,1,1177430,1177431,1177430,1
234,1,1178014,1178015,1178014,1
235,1,1179288,1179289,1179288,1
236,1,1189730,1189731,1189730,1
237,1,1194713,1194714,1194713,1
238,1,1195100,1195101,1195100,1
239,1,1196061,1196062,1196061,2
240,1,1197558,1197559,1197558,2
241,1,1197586,1197587,1197586,1
242,1,1197874,1197875,1197874,1
243,1,1199327,1199328,1199327,1
244,1,1202625,1202626,1202625,2
245,1,1206176,1206177,1206176,2
246,1,1206343,1206344,1206343,2
247,1,1206770,1206771,1206770,2
248,1,1207334,1207335,1207334,1
249,1,1215852,1215853,1215852,1
250,1,1216593,1216594,1216593,1
251,1,1217221,1217222,1217221,1
252,1,1217251,1217252,1217251,2
253,1,1217733,1217734,1217733,5
254,1,1221275,1221276,1221275,1
255,1,1226486,1226487,1226486,4
256,1,1227302,1227303,1227302,1
257,1,1229369,1229370,1229369,1
258,1,1231507,1231508,1231507,1
259,1,1231710,1231711,1231710,7
260,1,1232416,1232417,1232416,5
261,1,1234105,1234106,1234105,2
262,1,1234348,1234349,1234348,3
263,1,1234593,1234594,1234593,3
264,1,1235349,1235350,1235349,1
265,1,1235602,1235603,1235602,5
266,1,1235997,1235998,1235997,1
267,1,1236303,1236304,1236303,6
268,1,1240847,1240848,1240847,5
269,1,1242865,1242866,1242865,1
270,1,1243102,1243103,1243102,1
271,1,1254283,1254284,1254283,2
272,1,1255533,1255534,1255533,3
273,1,1256271,1256272,1256271,1
274,1,1257135,1257136,1257135,2
275,1,1260440,1260441,1260440,4
276,1,1264812,1264813,1264812,3
277,1,1266260,1266261,1266260,4
278,1,1270963,1270964,1270963,4
279,1,1271835,1271836,1271835,4
280,1,1279425,1279426,1279425,4
281,1,1283414,1283415,1283414,1
282,1,1287315,1287316,1287315,1
283,1,1287578,1287579,1287578,1
284,1,1289543,1289544,1289543,2
285,1,1291509,1291510,1291509,1
286,1,1292467,1292468,1292467,7
287,1,1295028,1295029,1295028,1
288,1,1295309,1295310,1295309,1
289,1,1296127,1296128,1296127,1
290,1,1296207,1296208,1296207,7
291,1,1299382,1299383,1299382,1
292,1,1299575,1299576,1299575,6
293,1,1302224,1302225,1302224,2
294,1,1303112,1303113,1303112,1
295,1,1303800,1303801,1303800,1
296,1,1304417,1304418,1304417,6
297,1,1304573,1304574,1304573,1
298,1,1306149,1306150,1306149,1
299,1,1310923,1310924,1310923,6
300,1,1316929,1316930,1316929,1
301,1,1319056,1319057,1319056,2
302,1,1319648,1319649,1319648,9
303,1,1321228,1321229,1321228,1
304,1,1322213,1322214,1322213,2
305,1,1323147,1323148,1323147,6
306,1,1325353,1325354,1325353,2
307,1,1325753,1325754,1325753,1
308,1,1329159,1329160,1329159,2
309,1,1329634,1329635,1329634,3
310,1,1335759,1335760,1335759,1
311,1,1336848,1336849,1336848,1
312,1,1341118,1341119,1341118,6
313,1,1341559,1341560,1341559,3
314,1,1345428,1345429,1345428,3
315,1,1346459,1346460,1346459,3
316,1,1351870,1351871,1351870,6
317,1,1356751,1356752,1356751,7
318,1,1359090,1359091,1359090,6
319,1,1363898,1363899,1363898,1
320,1,1363986,1363987,1363986,1
321,1,1365566,1365567,1365566,1
322,1,1366183,1366184,1366183,1
323,1,1366427,1366428,1366427,1
324,1,1366529,1366530,1366529,1
325,1,1366941,1366942,1366941,1
326,1,1367175,1367176,1367175,1
327,1,1367954,1367955,1367954,1
328,1,1372220,1372221,1372220,1
329,1,1372735,1372736,1372735,3
330,1,1374078,1374079,1374078,1
331,1,1374505,1374506,1374505,1
332,1,1374801,1374802,1374801,1
333,1,1375642,1375643,1375642,1
334,1,1376162,1376163,1376162,1
335,1,1377431,1377432,1377431,1
336,1,1378204,1378205,1378204,1
337,1,1378635,1378636,1378635,2
338,1,1383743,1383744,1383743,2
339,1,1384546,1384547,1384546,2
340,1,1384749,1384750,1384749,1
341,1,1387763,1387764,1387763,1
342,1,1388944,1388945,1388944,1
343,1,1389777,1389778,1389777,11
344,1,1394041,1394042,1394041,2
345,1,1398218,1398219,1398218,2
346,1,1399320,1399321,1399320,1
347,1,1399922,1399923,1399922,1
348,1,1400410,1400411,1400410,1
349,1,1400626,1400627,1400626,12
350,1,1400756,1400757,1400756,2
351,1,1401954,1401955,1401954,1
352,1,1402900,1402901,1402900,1
353,1,1403593,1403594,1403593,1
354,1,1405316,1405317,1405316,1
355,1,1407014,1407015,1407014,6
356,1,1407232,1407233,1407232,5
357,1,1408286,1408287,1408286,2
358,1,1409306,1409307,1409306,2
359,1,1409623,1409624,1409623,2
360,1,1410590,1410591,1410590,1
361,1,1413898,1413899,1413898,5
362,1,1415011,1415012,1415011,4
363,1,1415221,1415222,1415221,1
364,1,1415385,1415386,1415385,4
365,1,1415659,1415660,1415659,4
366,1,1415754,1415755,1415754,2
367,1,1415762,1415763,1415762,2
368,1,1417000,1417001,1417000,1
369,1,1417031,1417032,1417031,3
370,1,1417561,1417562,1417561,8
371,1,1418000,1418001,1418000,11
372,1,1418181,1418182,1418181,8
373,1,1418223,1418224,1418223,11
374,1,1418252,1418253,1418252,11
375,1,1419214,1419215,1419214,12
376,1,1420203,1420204,1420203,1
377,1,1423062,1423063,1423062,1
378,1,1426253,1426254,1426253,1
379,1,1426261,1426262,1426261,1
380,1,1426810,1426811,1426810,2
381,1,1428969,1428970,1428969,2
382,1,1430190,1430191,1430190,1
383,1,1430908,1430909,1430908,1
384,1,1431450,1431451,1431450,1
385,1,1431537,1431538,1431537,1
386,1,1431656,1431657,1431656,1
387,1,1431813,1431814,1431813,1
388,1,1432355,1432356,1432355,2
389,1,1434243,1434244,1434243,2
390,1,1434687,1434688,1434687,1
391,1,1435945,1435946,1435945,1
392,1,1438102,1438103,1438102,1
393,1,1438619,1438620,1438619,3
394,1,1439056,1439057,1439056,3
395,1,1439581,1439582,1439581,1
396,1,1439805,1439806,1439805,1
397,1,1440430,1440431,1440430,7
398,1,1441771,1441772,1441771,3
399,1,1442793,1442794,1442793,1
400,1,1443457,1443458,1443457,1
401,1,1451968,1451969,1451968,1
402,1,1452540,1452541,1452540,1
403,1,1453552,1453553,1453552,1
404,1,1454848,1454849,1454848,1
405,1,1455337,1455338,1455337,1
406,1,1455495,1455496,1455495,1
407,1,1455924,1455925,1455924,1
408,1,1456891,1456892,1456891,1
409,1,1457033,1457034,1457033,1
410,1,1457071,1457072,1457071,1
411,1,1468094,1468095,1468094,2
412,1,1471713,1471714,1471713,1
413,1,1480224,1480225,1480224,1
414,1,1482392,1482393,1482392,1
415,1,1484647,1484648,1484647,1
416,1,1485895,1485896,1485895,1
417,1,1485905,1485906,1485905,1
418,1,1486011,1486012,1486011,1
419,1,1486199,1486200,1486199,1
420,1,1490670,1490671,1490670,1
421,1,1492495,1492496,1492495,1
422,1,1494166,1494167,1494166,1
423,1,1497758,1497759,1497758,14
424,1,1497903,1497904,1497903,2
425,1,1499000,1499001,1499000,13
426,1,1499128,1499129,1499128,4
427,1,1499639,1499640,1499639,13
428,1,1500691,1500692,1500691,1
429,1,1508007,1508008,1508007,1
430,1,1513923,1513924,1513923,1
431,1,1516000,1516001,1516000,1
432,1,1518541,1518542,1518541,1
433,1,1520463,1520464,1520463,14
434,1,1523022,1523023,1523022,1
435,1,1524911,1524912,1524911,1
436,1,1530331,1530332,1530331,1
437,1,1534218,1534219,1534218,2
438,1,1534219,1534220,1534219,4
439,1,1534226,1534227,1534226,1
440,1,1534481,1534482,1534481,14
441,1,1534915,1534916,1534915,1
442,1,1550604,1550605,1550604,1
443,1,1550696,1550697,1550696,1
444,1,1551523,1551524,1551523,1
445,1,1551679,1551680,1551679,1
446,1,1554326,1554327,1554326,1
447,1,1554694,1554695,1554694,1
448,1,1558462,1558463,1558462,6
449,1,1559750,1559751,1559750,2
450,1,1561628,1561629,1561628,3
451,1,1562444,1562445,1562444,1
452,1,1562701,1562702,1562701,6
453,1,1563918,1563919,1563918,3
454,1,1565561,1565562,1565561,2
455,1,1565684,1565685,1565684,2
456,1,1566086,1566087,1566086,1
457,1,1567715,1567716,1567715,1
458,1,1567719,1567720,1567719,1
459,1,1569180,1569181,1569180,1
460,1,1569875,1569876,1569875,1
461,1,1572532,1572533,1572532,1
462,1,1573079,1573080,1573079,1
463,1,1573654,1573655,1573654,10
464,1,1573776,1573777,1573776,1
465,1,1574032,1574033,1574032,7
466,1,1574445,1574446,1574445,5
467,1,1574655,1574656,1574655,2
